n,iters
500,3911
500,3937
500,3911
500,3853
500,3955
500,3952
500,3922
500,3931
500,3880
500,3828
500,3860
500,3929
500,3948
500,3934
500,3857
500,3901
500,3769
500,3846
500,3867
500,3949
500,3903
500,3985
500,3907
500,3860
500,3825
500,3873
500,3912
500,3920
500,3841
500,3879
500,3882
500,3961
500,3982
500,3780
500,3906
500,3915
500,3946
500,3877
500,3956
500,3915
500,3970
500,3976
500,4024
500,3844
500,3942
500,3921
500,3964
500,3902
500,3840
500,3869
500,3904
500,3864
500,3920
500,3915
500,3867
500,3882
500,3863
500,3832
500,3949
500,3890
500,3870
500,3841
500,4011
500,3869
500,3904
500,3899
500,3820
500,3896
500,3959
500,3871
500,3917
500,3840
500,3968
500,3936
500,3794
500,3844
500,3933
500,3990
500,3918
500,3829
500,3853
500,3997
500,4003
500,3889
500,3850
500,3951
500,3934
500,3843
500,3889
500,3908
500,3864
500,3885
500,3955
500,3955
500,3855
500,3954
500,3830
500,3895
500,3976
500,3945
500,3882
500,3911
500,3866
500,4076
500,3895
500,3910
500,3863
500,3922
500,3879
500,3933
500,3866
500,3886
500,3866
500,3919
500,3926
500,3856
500,3950
500,3902
500,3920
500,3853
500,3823
500,3840
500,3884
500,3981
500,3956
500,3932
500,3883
500,3824
500,3882
500,3987
500,3929
500,3911
500,3879
500,3843
500,3874
500,3941
500,3862
500,3854
500,3925
500,3836
500,3877
500,3964
500,3990
500,3980
500,3878
500,3873
500,3900
600,4788
600,4781
600,4726
600,4643
600,4710
600,4686
600,4717
600,4669
600,4754
600,4735
600,4755
600,4696
600,4750
600,4716
600,4788
600,4735
600,4741
600,4764
600,4788
600,4676
600,4843
600,4753
600,4714
600,4608
600,4762
600,4717
600,4734
600,4712
600,4792
600,4736
600,4744
600,4623
600,4663
600,4838
600,4760
600,4715
600,4662
600,4785
600,4693
600,4633
600,4673
600,4799
600,4727
600,4740
600,4729
600,4767
600,4708
600,4769
600,4803
600,4832
600,4759
600,4748
600,4714
600,4771
600,4772
600,4635
600,4778
600,4713
600,4715
600,4641
600,4620
600,4650
600,4710
600,4680
600,4712
600,4705
600,4717
600,4711
600,4764
600,4672
600,4715
600,4702
600,4765
600,4683
600,4721
600,4795
600,4651
600,4690
600,4710
600,4749
600,4716
600,4785
600,4727
600,4691
600,4669
600,4728
600,4741
600,4761
600,4627
600,4850
600,4694
600,4765
600,4708
600,4742
600,4754
600,4744
600,4661
600,4791
600,4678
600,4672
600,4767
600,4697
600,4679
600,4706
600,4745
600,4714
600,4775
600,4705
600,4689
600,4804
600,4835
600,4710
600,4749
600,4895
600,4637
600,4732
600,4668
600,4684
600,4799
600,4728
600,4787
600,4814
600,4901
600,4744
600,4779
600,4754
600,4661
600,4636
600,4682
600,4815
600,4661
600,4735
600,4788
600,4701
600,4710
600,4770
600,4757
600,4682
600,4813
600,4798
600,4709
600,4656
600,4677
600,4725
600,4764
600,4834
600,4695
600,4723
600,4769
600,4815
600,4691
600,4805
600,4709
600,4664
600,4717
600,4745
600,4775
600,4733
600,4802
600,4679
600,4673
600,4619
600,4772
600,4738
600,4707
600,4693
600,4811
600,4746
600,4731
600,4683
600,4726
600,4776
600,4758
600,4829
600,4746
600,4801
600,4709
600,4718
600,4777
600,4745
600,4677
600,4795
600,4781
600,4732
600,4731
600,4725
600,4669
600,4693
600,4694
600,4773
600,4782
600,4826
600,4634
600,4705
600,4767
600,4733
600,4670
600,4724
600,4735
600,4600
600,4625
600,4772
600,4724
600,4743
600,4739
600,4792
600,4731
600,4783
600,4664
600,4841
600,4764
600,4713
600,4761
600,4788
600,4846
600,4866
600,4699
600,4796
600,4727
600,4785
600,4739
600,4618
600,4619
600,4756
600,4770
600,4809
600,4737
600,4749
600,4661
600,4630
600,4745
600,4730
600,4801
600,4757
600,4630
600,4759
600,4742
600,4719
600,4641
600,4691
600,4748
600,4765
600,4689
600,4751
600,4715
600,4768
600,4760
600,4788
600,4808
600,4855
600,4686
600,4724
600,4807
600,4732
600,4789
600,4666
600,4775
600,4771
600,4837
600,4782
600,4714
600,4683
600,4664
600,4827
600,4687
600,4713
600,4828
600,4661
600,4780
600,4744
600,4753
600,4729
600,4688
600,4724
600,4791
600,4738
600,4642
600,4808
600,4752
600,4629
600,4810
600,4721
600,4682
600,4660
600,4727
600,4681
600,4756
600,4649
600,4843
600,4822
600,4660
600,4683
600,4701
600,4782
600,4702
600,4839
600,4739
600,4687
600,4713
600,4835
600,4761
600,4808
600,4745
600,4804
600,4682
600,4696
600,4628
600,4717
600,4716
600,4728
600,4799
600,4633
600,4797
600,4799
600,4708
600,4789
600,4659
600,4782
600,4829
600,4746
600,4727
600,4707
600,4728
600,4788
600,4773
600,4696
600,4775
600,4687
600,4760
600,4801
600,4748
600,4821
600,4727
600,4780
600,4768
600,4692
600,4734
600,4727
600,4763
600,4807
600,4740
600,4764
600,4804
600,4731
600,4766
600,4742
600,4724
600,4738
600,4658
600,4654
600,4704
600,4641
600,4790
600,4766
600,4690
600,4814
600,4733
600,4694
600,4668
600,4768
600,4848
600,4696
600,4683
600,4660
600,4807
600,4804
600,4821
600,4762
600,4731
600,4761
600,4741
600,4814
600,4707
600,4679
600,4800
600,4715
600,4696
600,4747
600,4703
600,4647
600,4788
600,4762
600,4764
600,4546
600,4775
600,4770
600,4775
600,4671
600,4735
600,4730
600,4765
600,4703
600,4715
600,4669
